"","DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5","YEAR","MONTH","MDAY","WDAY","YDAY","TOTAL_YDAY","severity"
"1",2018-11-03,14:34:00,"QUEENS","11354",40.769096,-73.833664,"(40.769096, -73.833664)","FARRINGTON STREET","31 ROAD",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4013263,"Pick-up Truck",NA,NA,NA,NA,2018,11,3,7,307,310,"Fatal"
"2",2018-11-03,21:42:00,NA,NA,40.75458,-73.99915,"(40.75458, -73.99915)","10 AVENUE",NA,NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4014731,"Bus",NA,NA,NA,NA,2018,11,3,7,307,310,"Fatal"
"3",2018-10-31,21:16:00,"MANHATTAN","10033",40.848682,-73.939224,"(40.848682, -73.939224)","FORT WASHINGTON AVENUE","WEST 178 STREET",NA,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4011711,"Sedan","Motorcycle",NA,NA,NA,2018,10,31,4,304,310,"Fatal"
"4",2018-10-31,22:38:00,NA,NA,40.62391,-74.16741,"(40.62391, -74.16741)","SOUTH AVENUE",NA,NA,0,1,0,0,0,0,0,1,"Illnes",NA,NA,NA,NA,4011723,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,2018,10,31,4,304,310,"Fatal"
"5",2018-10-27,23:15:00,NA,NA,40.745293,-73.9985,"(40.745293, -73.9985)","WEST 23 STREET",NA,NA,1,1,0,1,0,0,1,0,"Unsafe Speed","Unspecified","Unspecified","Unspecified",NA,4009057,"Station Wagon/Sport Utility Vehicle","Taxi","Taxi","Taxi",NA,2018,10,27,7,300,310,"Fatal"
"6",2018-10-21,00:57:00,NA,NA,40.73376,-73.93743,"(40.73376, -73.93743)","REVIEW AVENUE",NA,NA,0,1,0,0,0,0,0,1,"Unsafe Speed",NA,NA,NA,NA,4004026,"Sedan",NA,NA,NA,NA,2018,10,21,1,294,310,"Fatal"
"7",2018-10-20,16:41:00,"QUEENS","11355",40.745304,-73.82595,"(40.745304, -73.82595)","MAIN STREET","58 AVENUE",NA,0,1,0,0,0,0,0,1,"Lost Consciousness",NA,NA,NA,NA,4003874,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,2018,10,20,7,293,310,"Fatal"
"8",2018-10-19,10:45:00,"BROOKLYN","11204",40.613335,-73.99277,"(40.613335, -73.99277)","19 AVENUE","73 STREET",NA,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction","Driver Inattention/Distraction",NA,NA,NA,4003356,"E SCO","Box Truck",NA,NA,NA,2018,10,19,6,292,310,"Fatal"
"9",2018-10-18,21:40:00,"BROOKLYN","11206",40.70664,-73.94818,"(40.70664, -73.94818)",NA,NA,"331       LORIMER STREET",0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4002934,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,2018,10,18,5,291,310,"Fatal"
"10",2018-10-18,07:28:00,"BROOKLYN","11228",40.624477,-74.00819,"(40.624477, -74.00819)",NA,NA,"1161      71 STREET",0,1,0,0,0,0,0,1,"Lost Consciousness","Unspecified",NA,NA,NA,4002768,"Van","Sedan",NA,NA,NA,2018,10,18,5,291,310,"Fatal"
"11",2018-10-15,22:29:00,"MANHATTAN","10128",40.786545,-73.95256,"(40.786545, -73.95256)","EAST 96 STREET","PARK AVENUE",NA,3,1,0,0,0,0,2,1,"Unspecified","Unspecified",NA,NA,NA,4001393,"Utili","Motorcycle",NA,NA,NA,2018,10,15,2,288,310,"Fatal"
"12",2018-10-14,01:25:00,NA,NA,40.690975,-73.753815,"(40.690975, -73.753815)","197 STREET",NA,NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified",NA,NA,NA,3999808,"Station Wagon/Sport Utility Vehicle","Motorcycle",NA,NA,NA,2018,10,14,1,287,310,"Fatal"
"13",2018-10-11,20:04:00,NA,NA,40.5839,-73.93874,"(40.5839, -73.93874)","NOSTRAND AVENUE",NA,NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3998712,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,2018,10,11,5,284,310,"Fatal"
"14",2018-10-11,06:45:00,"BROOKLYN","11213",40.66955,-73.94497,"(40.66955, -73.94497)","EASTERN PARKWAY","BROOKLYN AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,3997948,"Garbage or Refuse",NA,NA,NA,NA,2018,10,11,5,284,310,"Fatal"
"15",2018-10-10,17:27:00,NA,NA,NA,NA,NA,"QUEENSBORO BRIDGE LOWER",NA,NA,0,1,0,0,0,0,0,1,"Passing or Lane Usage Improper","Unspecified",NA,NA,NA,3997406,"Motorcycle","Box Truck",NA,NA,NA,2018,10,10,4,283,310,"Fatal"
"16",2018-10-07,16:00:00,NA,NA,40.71333,-73.842705,"(40.71333, -73.842705)","GREENWAY SOUTH",NA,NA,0,1,0,0,0,0,0,1,"Lost Consciousness","Unspecified",NA,NA,NA,3995906,"Sedan","Station Wagon/Sport Utility Vehicle",NA,NA,NA,2018,10,7,1,280,310,"Fatal"
"17",2018-10-06,13:24:00,"BROOKLYN","11206",40.70547,-73.95024,"(40.70547, -73.95024)","BROADWAY","UNION AVENUE",NA,0,1,0,0,0,0,0,1,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,3995987,"Motorcycle","Sedan",NA,NA,NA,2018,10,6,7,279,310,"Fatal"
"18",2018-10-05,15:20:00,"MANHATTAN","10075",40.776318,-73.962135,"(40.776318, -73.962135)","MADISON AVENUE","EAST 79 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,3994362,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,2018,10,5,6,278,310,"Fatal"
"19",2018-10-03,10:38:00,"MANHATTAN","10011",40.73988,-73.99872,"(40.73988, -73.99872)","WEST 16 STREET","7 AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3993193,"Pick-up Truck",NA,NA,NA,NA,2018,10,3,4,276,310,"Fatal"
"20",2018-10-02,11:45:00,"QUEENS","11004",40.73832,-73.70374,"(40.73832, -73.70374)","HILLSIDE AVENUE","265 STREET",NA,0,1,0,0,0,0,0,1,"Illnes","Unspecified",NA,NA,NA,3992083,"Station Wagon/Sport Utility Vehicle","Beverage Truck",NA,NA,NA,2018,10,2,3,275,310,"Fatal"
